Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,Value,LowCI,HighCI,Quartile Range,Usage_Category
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Sexual orientation,United States,Gay or lesbian,3.2,36,"Aug 18 - Aug 30, 2021",20.1,16.9,23.6,9.8-11.2,Medium
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Sexual orientation,United States,Straight,3.2,36,"Aug 18 - Aug 30, 2021",9.4,9.0,9.9,9.8-11.2,Low
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Sexual orientation,United States,Bisexual,3.2,36,"Aug 18 - Aug 30, 2021",30.7,27.4,34.0,9.8-11.2,High
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Did not experience symptoms of anxiety/depression in the past 4 weeks,3.2,36,"Aug 18 - Aug 30, 2021",3.7,3.4,4.1,9.8-11.2,Low
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Experienced symptoms of anxiety/depression in past 4 weeks,3.2,36,"Aug 18 - Aug 30, 2021",27.1,25.8,28.3,9.8-11.2,High
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Race/Hispanic ethnicity,United States,Hispanic or Latino,3.2,36,"Aug 18 - Aug 30, 2021",11.1,9.7,12.6,9.8-11.2,Low
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",3.2,36,"Aug 18 - Aug 30, 2021",11.0,10.5,11.6,9.8-11.2,Low
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",3.2,36,"Aug 18 - Aug 30, 2021",13.4,12.0,15.0,9.8-11.2,Medium
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",3.2,36,"Aug 18 - Aug 30, 2021",5.7,4.4,7.3,9.8-11.2,Low
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",3.2,36,"Aug 18 - Aug 30, 2021",16.4,14.3,18.6,9.8-11.2,Medium
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Education,United States,Less than a high school diploma,3.2,36,"Aug 18 - Aug 30, 2021",10.8,8.3,13.8,9.8-11.2,Low
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Education,United States,High school diploma or GED,3.2,36,"Aug 18 - Aug 30, 2021",9.4,8.3,10.5,9.8-11.2,Low
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Education,United States,Some college/Associate's degree,3.2,36,"Aug 18 - Aug 30, 2021",13.6,12.7,14.5,9.8-11.2,Medium
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Education,United States,Bachelor's degree or higher,3.2,36,"Aug 18 - Aug 30, 2021",10.8,10.2,11.4,9.8-11.2,Low
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Disability status,United States,With disability,3.2,36,"Aug 18 - Aug 30, 2021",25.4,23.5,27.4,9.8-11.2,High
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Disability status,United States,Without disability,3.2,36,"Aug 18 - Aug 30, 2021",9.0,8.6,9.5,9.8-11.2,Low
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Alabama,Alabama,3.2,36,"Aug 18 - Aug 30, 2021",12.7,9.9,15.9,11.1-12.7,Medium
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Alaska,Alaska,3.2,36,"Aug 18 - Aug 30, 2021",12.2,9.3,15.7,11.1-12.7,Medium
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Arizona,Arizona,3.2,36,"Aug 18 - Aug 30, 2021",11.6,8.8,14.8,11.1-12.7,Low
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Arkansas,Arkansas,3.2,36,"Aug 18 - Aug 30, 2021",12.3,9.4,15.7,11.1-12.7,Medium
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,California,California,3.2,36,"Aug 18 - Aug 30, 2021",9.2,7.9,10.7,7.0-9.8,Low
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Colorado,Colorado,3.2,36,"Aug 18 - Aug 30, 2021",15.1,12.2,18.5,12.8-15.2,Medium
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Connecticut,Connecticut,3.2,36,"Aug 18 - Aug 30, 2021",10.6,7.7,14.2,9.9-11.0,Low
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Delaware,Delaware,3.2,36,"Aug 18 - Aug 30, 2021",11.8,8.5,15.9,11.1-12.7,Medium
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,District of Columbia,District of Columbia,3.2,36,"Aug 18 - Aug 30, 2021",15.2,9.5,22.7,12.8-15.2,Medium
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Florida,Florida,3.2,36,"Aug 18 - Aug 30, 2021",10.4,8.5,12.5,9.9-11.0,Low
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Georgia,Georgia,3.2,36,"Aug 18 - Aug 30, 2021",11.0,8.5,13.9,9.9-11.0,Low
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Hawaii,Hawaii,3.2,36,"Aug 18 - Aug 30, 2021",7.0,4.5,10.4,7.0-9.8,Low
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Idaho,Idaho,3.2,36,"Aug 18 - Aug 30, 2021",11.2,7.8,15.6,11.1-12.7,Low
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Illinois,Illinois,3.2,36,"Aug 18 - Aug 30, 2021",9.6,7.5,12.0,7.0-9.8,Low
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Indiana,Indiana,3.2,36,"Aug 18 - Aug 30, 2021",12.2,9.5,15.3,11.1-12.7,Medium
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Iowa,Iowa,3.2,36,"Aug 18 - Aug 30, 2021",9.5,6.5,13.2,7.0-9.8,Low
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Kansas,Kansas,3.2,36,"Aug 18 - Aug 30, 2021",10.3,7.5,13.7,9.9-11.0,Low
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Kentucky,Kentucky,3.2,36,"Aug 18 - Aug 30, 2021",10.9,7.6,15.1,9.9-11.0,Low
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Louisiana,Louisiana,3.2,36,"Aug 18 - Aug 30, 2021",12.7,8.8,17.5,11.1-12.7,Medium
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Maine,Maine,3.2,36,"Aug 18 - Aug 30, 2021",13.0,9.0,18.0,12.8-15.2,Medium
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Maryland,Maryland,3.2,36,"Aug 18 - Aug 30, 2021",10.7,7.9,14.1,9.9-11.0,Low
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Massachusetts,Massachusetts,3.2,36,"Aug 18 - Aug 30, 2021",11.3,9.3,13.5,11.1-12.7,Low
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Michigan,Michigan,3.2,36,"Aug 18 - Aug 30, 2021",13.0,10.5,15.9,12.8-15.2,Medium
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Minnesota,Minnesota,3.2,36,"Aug 18 - Aug 30, 2021",11.9,9.7,14.4,11.1-12.7,Medium
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Mississippi,Mississippi,3.2,36,"Aug 18 - Aug 30, 2021",10.7,7.6,14.5,9.9-11.0,Low
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Missouri,Missouri,3.2,36,"Aug 18 - Aug 30, 2021",11.8,9.4,14.5,11.1-12.7,Medium
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Montana,Montana,3.2,36,"Aug 18 - Aug 30, 2021",11.0,7.8,14.9,9.9-11.0,Low
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Nebraska,Nebraska,3.2,36,"Aug 18 - Aug 30, 2021",8.8,6.8,11.2,7.0-9.8,Low
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Nevada,Nevada,3.2,36,"Aug 18 - Aug 30, 2021",13.4,9.9,17.7,12.8-15.2,Medium
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,New Hampshire,New Hampshire,3.2,36,"Aug 18 - Aug 30, 2021",9.6,6.7,13.1,7.0-9.8,Low
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,New Jersey,New Jersey,3.2,36,"Aug 18 - Aug 30, 2021",10.6,7.6,14.2,9.9-11.0,Low
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,New Mexico,New Mexico,3.2,36,"Aug 18 - Aug 30, 2021",10.1,7.3,13.5,9.9-11.0,Low
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,New York,New York,3.2,36,"Aug 18 - Aug 30, 2021",9.8,7.4,12.6,7.0-9.8,Low
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,North Carolina,North Carolina,3.2,36,"Aug 18 - Aug 30, 2021",13.3,10.4,16.7,12.8-15.2,Medium
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,North Dakota,North Dakota,3.2,36,"Aug 18 - Aug 30, 2021",7.9,4.9,12.1,7.0-9.8,Low
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Ohio,Ohio,3.2,36,"Aug 18 - Aug 30, 2021",15.1,11.9,18.9,12.8-15.2,Medium
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Oklahoma,Oklahoma,3.2,36,"Aug 18 - Aug 30, 2021",10.4,7.9,13.3,9.9-11.0,Low
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Oregon,Oregon,3.2,36,"Aug 18 - Aug 30, 2021",14.7,12.7,16.9,12.8-15.2,Medium
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,3.2,36,"Aug 18 - Aug 30, 2021",9.9,7.4,12.9,9.9-11.0,Low
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Rhode Island,Rhode Island,3.2,36,"Aug 18 - Aug 30, 2021",9.4,6.4,13.2,7.0-9.8,Low
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,South Carolina,South Carolina,3.2,36,"Aug 18 - Aug 30, 2021",14.6,11.6,17.9,12.8-15.2,Medium
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,South Dakota,South Dakota,3.2,36,"Aug 18 - Aug 30, 2021",9.8,6.6,13.9,7.0-9.8,Low
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Tennessee,Tennessee,3.2,36,"Aug 18 - Aug 30, 2021",11.5,8.5,15.1,11.1-12.7,Low
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Texas,Texas,3.2,36,"Aug 18 - Aug 30, 2021",11.9,10.3,13.6,11.1-12.7,Medium
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Utah,Utah,3.2,36,"Aug 18 - Aug 30, 2021",13.2,10.5,16.2,12.8-15.2,Medium
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Vermont,Vermont,3.2,36,"Aug 18 - Aug 30, 2021",9.2,4.9,15.4,7.0-9.8,Low
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Virginia,Virginia,3.2,36,"Aug 18 - Aug 30, 2021",9.1,6.9,11.9,7.0-9.8,Low
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Washington,Washington,3.2,36,"Aug 18 - Aug 30, 2021",12.7,10.7,15.0,11.1-12.7,Medium
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,West Virginia,West Virginia,3.2,36,"Aug 18 - Aug 30, 2021",11.8,7.3,17.6,11.1-12.7,Medium
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Wisconsin,Wisconsin,3.2,36,"Aug 18 - Aug 30, 2021",10.7,8.1,13.7,9.9-11.0,Low
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Wyoming,Wyoming,3.2,36,"Aug 18 - Aug 30, 2021",7.2,4.7,10.5,7.0-9.8,Low
"Took Prescription Medication for Mental Health, Last 4 Weeks",National Estimate,United States,United States,3.2,37,"Sep 1 - Sep 13, 2021",22.2,21.7,22.8,9.8-11.2,High
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,18 - 29 years,3.2,37,"Sep 1 - Sep 13, 2021",22.6,20.8,24.6,9.8-11.2,High
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,30 - 39 years,3.2,37,"Sep 1 - Sep 13, 2021",21.8,20.4,23.3,9.8-11.2,High
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,40 - 49 years,3.2,37,"Sep 1 - Sep 13, 2021",23.2,21.8,24.7,9.8-11.2,High
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,50 - 59 years,3.2,37,"Sep 1 - Sep 13, 2021",23.5,22.1,25.0,9.8-11.2,High
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,60 - 69 years,3.2,37,"Sep 1 - Sep 13, 2021",22.1,20.8,23.5,9.8-11.2,High
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,70 - 79 years,3.2,37,"Sep 1 - Sep 13, 2021",20.3,18.8,21.8,9.8-11.2,Medium
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,80 years and above,3.2,37,"Sep 1 - Sep 13, 2021",17.0,13.7,20.8,9.8-11.2,Medium
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Sex,United States,Male,3.2,37,"Sep 1 - Sep 13, 2021",16.0,15.2,16.8,9.8-11.2,Medium
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Sex,United States,Female,3.2,37,"Sep 1 - Sep 13, 2021",28.0,27.2,28.8,9.8-11.2,High
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Gender identity,United States,Cis-gender male,3.2,37,"Sep 1 - Sep 13, 2021",15.9,15.1,16.7,9.8-11.2,Medium
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Gender identity,United States,Cis-gender female,3.2,37,"Sep 1 - Sep 13, 2021",27.9,27.1,28.7,9.8-11.2,High
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Gender identity,United States,Transgender,3.2,37,"Sep 1 - Sep 13, 2021",29.2,19.5,40.6,9.8-11.2,High
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Sexual orientation,United States,Gay or lesbian,3.2,37,"Sep 1 - Sep 13, 2021",33.7,29.2,38.4,9.8-11.2,High
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Sexual orientation,United States,Straight,3.2,37,"Sep 1 - Sep 13, 2021",21.0,20.5,21.6,9.8-11.2,Medium
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Sexual orientation,United States,Bisexual,3.2,37,"Sep 1 - Sep 13, 2021",35.0,31.0,39.1,9.8-11.2,High
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Did not experience symptoms of anxiety/depression in the past 4 weeks,3.2,37,"Sep 1 - Sep 13, 2021",15.2,14.6,15.9,9.8-11.2,Medium
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Experienced symptoms of anxiety/depression in past 4 weeks,3.2,37,"Sep 1 - Sep 13, 2021",37.1,35.8,38.4,9.8-11.2,High
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,United States,Hispanic or Latino,3.2,37,"Sep 1 - Sep 13, 2021",16.2,14.8,17.8,9.8-11.2,Medium
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",3.2,37,"Sep 1 - Sep 13, 2021",25.6,24.9,26.3,9.8-11.2,High
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",3.2,37,"Sep 1 - Sep 13, 2021",16.2,14.4,18.3,9.8-11.2,Medium
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",3.2,37,"Sep 1 - Sep 13, 2021",8.8,7.1,10.7,9.8-11.2,Low
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",3.2,37,"Sep 1 - Sep 13, 2021",25.6,22.2,29.2,9.8-11.2,High
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Education,United States,Less than a high school diploma,3.2,37,"Sep 1 - Sep 13, 2021",17.7,14.7,21.1,9.8-11.2,Medium
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Education,United States,High school diploma or GED,3.2,37,"Sep 1 - Sep 13, 2021",21.5,20.1,22.9,9.8-11.2,Medium
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Education,United States,Some college/Associate's degree,3.2,37,"Sep 1 - Sep 13, 2021",24.1,22.9,25.3,9.8-11.2,High
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Education,United States,Bachelor's degree or higher,3.2,37,"Sep 1 - Sep 13, 2021",22.2,21.4,23.0,9.8-11.2,High
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Disability status,United States,With disability,3.2,37,"Sep 1 - Sep 13, 2021",44.1,41.8,46.4,9.8-11.2,High
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Disability status,United States,Without disability,3.2,37,"Sep 1 - Sep 13, 2021",18.8,18.3,19.4,9.8-11.2,Medium
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Alabama,Alabama,3.2,37,"Sep 1 - Sep 13, 2021",25.6,22.1,29.3,24.4-26.1,High
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Alaska,Alaska,3.2,37,"Sep 1 - Sep 13, 2021",16.5,13.7,19.6,11.8-21.0,Medium
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Arizona,Arizona,3.2,37,"Sep 1 - Sep 13, 2021",19.0,16.4,21.9,11.8-21.0,Medium
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Arkansas,Arkansas,3.2,37,"Sep 1 - Sep 13, 2021",28.3,23.8,33.1,26.2-29.3,High
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,California,California,3.2,37,"Sep 1 - Sep 13, 2021",17.2,15.3,19.3,11.8-21.0,Medium
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Colorado,Colorado,3.2,37,"Sep 1 - Sep 13, 2021",23.7,20.7,27.0,21.1-24.3,High
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Connecticut,Connecticut,3.2,37,"Sep 1 - Sep 13, 2021",24.9,21.2,28.9,24.4-26.1,High
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Delaware,Delaware,3.2,37,"Sep 1 - Sep 13, 2021",22.2,18.0,26.9,21.1-24.3,High
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,District of Columbia,District of Columbia,3.2,37,"Sep 1 - Sep 13, 2021",21.3,14.2,29.8,21.1-24.3,Medium
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Florida,Florida,3.2,37,"Sep 1 - Sep 13, 2021",21.4,18.5,24.6,21.1-24.3,Medium
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Georgia,Georgia,3.2,37,"Sep 1 - Sep 13, 2021",20.5,17.8,23.3,11.8-21.0,Medium
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Hawaii,Hawaii,3.2,37,"Sep 1 - Sep 13, 2021",11.8,9.0,15.1,11.8-21.0,Medium
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Idaho,Idaho,3.2,37,"Sep 1 - Sep 13, 2021",23.9,19.6,28.7,21.1-24.3,High
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Illinois,Illinois,3.2,37,"Sep 1 - Sep 13, 2021",21.5,17.2,26.3,21.1-24.3,Medium
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Indiana,Indiana,3.2,37,"Sep 1 - Sep 13, 2021",26.0,22.1,30.1,24.4-26.1,High
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Iowa,Iowa,3.2,37,"Sep 1 - Sep 13, 2021",26.1,22.0,30.5,24.4-26.1,High
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Kansas,Kansas,3.2,37,"Sep 1 - Sep 13, 2021",29.0,24.9,33.4,26.2-29.3,High
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Kentucky,Kentucky,3.2,37,"Sep 1 - Sep 13, 2021",25.8,21.5,30.4,24.4-26.1,High
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Louisiana,Louisiana,3.2,37,"Sep 1 - Sep 13, 2021",27.6,21.7,34.1,26.2-29.3,High
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Maine,Maine,3.2,37,"Sep 1 - Sep 13, 2021",26.7,21.4,32.5,26.2-29.3,High
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Maryland,Maryland,3.2,37,"Sep 1 - Sep 13, 2021",20.1,17.1,23.5,11.8-21.0,Medium
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Massachusetts,Massachusetts,3.2,37,"Sep 1 - Sep 13, 2021",27.4,24.4,30.5,26.2-29.3,High
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Michigan,Michigan,3.2,37,"Sep 1 - Sep 13, 2021",25.2,21.7,28.9,24.4-26.1,High
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Minnesota,Minnesota,3.2,37,"Sep 1 - Sep 13, 2021",19.7,17.0,22.6,11.8-21.0,Medium
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Mississippi,Mississippi,3.2,37,"Sep 1 - Sep 13, 2021",25.1,18.9,32.2,24.4-26.1,High
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Missouri,Missouri,3.2,37,"Sep 1 - Sep 13, 2021",24.3,19.8,29.3,21.1-24.3,High
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Montana,Montana,3.2,37,"Sep 1 - Sep 13, 2021",22.5,17.3,28.5,21.1-24.3,High
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Nebraska,Nebraska,3.2,37,"Sep 1 - Sep 13, 2021",25.2,21.8,28.9,24.4-26.1,High
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Nevada,Nevada,3.2,37,"Sep 1 - Sep 13, 2021",17.4,14.4,20.7,11.8-21.0,Medium
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Hampshire,New Hampshire,3.2,37,"Sep 1 - Sep 13, 2021",26.5,21.9,31.5,26.2-29.3,High
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Jersey,New Jersey,3.2,37,"Sep 1 - Sep 13, 2021",21.0,17.4,25.0,11.8-21.0,Medium
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Mexico,New Mexico,3.2,37,"Sep 1 - Sep 13, 2021",22.7,19.3,26.3,21.1-24.3,High
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New York,New York,3.2,37,"Sep 1 - Sep 13, 2021",17.2,13.9,21.0,11.8-21.0,Medium
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,North Carolina,North Carolina,3.2,37,"Sep 1 - Sep 13, 2021",25.9,22.0,30.0,24.4-26.1,High
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,North Dakota,North Dakota,3.2,37,"Sep 1 - Sep 13, 2021",22.3,16.3,29.2,21.1-24.3,High
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Ohio,Ohio,3.2,37,"Sep 1 - Sep 13, 2021",27.2,22.7,32.0,26.2-29.3,High
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Oklahoma,Oklahoma,3.2,37,"Sep 1 - Sep 13, 2021",23.8,20.0,27.9,21.1-24.3,High
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Oregon,Oregon,3.2,37,"Sep 1 - Sep 13, 2021",24.7,22.3,27.1,24.4-26.1,High
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,3.2,37,"Sep 1 - Sep 13, 2021",24.5,21.4,27.8,24.4-26.1,High
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Rhode Island,Rhode Island,3.2,37,"Sep 1 - Sep 13, 2021",27.1,21.7,33.0,26.2-29.3,High
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,South Carolina,South Carolina,3.2,37,"Sep 1 - Sep 13, 2021",26.8,23.4,30.5,26.2-29.3,High
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,South Dakota,South Dakota,3.2,37,"Sep 1 - Sep 13, 2021",20.3,16.1,25.0,11.8-21.0,Medium
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Tennessee,Tennessee,3.2,37,"Sep 1 - Sep 13, 2021",25.0,21.5,28.8,24.4-26.1,High
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Texas,Texas,3.2,37,"Sep 1 - Sep 13, 2021",19.7,17.5,22.1,11.8-21.0,Medium
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Utah,Utah,3.2,37,"Sep 1 - Sep 13, 2021",26.6,23.2,30.2,26.2-29.3,High
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Vermont,Vermont,3.2,37,"Sep 1 - Sep 13, 2021",29.3,21.7,37.9,26.2-29.3,High
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Virginia,Virginia,3.2,37,"Sep 1 - Sep 13, 2021",23.5,19.8,27.4,21.1-24.3,High
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Washington,Washington,3.2,37,"Sep 1 - Sep 13, 2021",22.1,19.9,24.3,21.1-24.3,High
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,West Virginia,West Virginia,3.2,37,"Sep 1 - Sep 13, 2021",27.7,21.2,34.9,26.2-29.3,High
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Wisconsin,Wisconsin,3.2,37,"Sep 1 - Sep 13, 2021",24.3,20.4,28.6,21.1-24.3,High
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Wyoming,Wyoming,3.2,37,"Sep 1 - Sep 13, 2021",20.6,14.9,27.4,11.8-21.0,Medium
"Received Counseling or Therapy, Last 4 Weeks",National Estimate,United States,United States,3.2,37,"Sep 1 - Sep 13, 2021",10.3,9.9,10.8,9.8-11.2,Low
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,18 - 29 years,3.2,37,"Sep 1 - Sep 13, 2021",15.6,14.1,17.2,9.8-11.2,Medium
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,30 - 39 years,3.2,37,"Sep 1 - Sep 13, 2021",14.5,13.3,15.7,9.8-11.2,Medium
